2,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Coluna 1,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Code Correctness - Run,9/9,13/13,13/13,0/6,7/8,8/8,5/5,1/3,0/7,17/17,12/12,2/9
Code Correctness - Dont Run,0/9,0/13,0/13,6/6,0/8,0/8,0/5,2/3,7/7,0/17,0/12,6/9
"Code Correctness - Run, but incomplete",0/9,0/13,0/13,0/6,1/8,0/8,0/5,0/3,0/7,0/17,0/12,1/9
,,,,,,,,,,,,
,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Coluna 1,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Code Correctness - Run,8/8,9/9,9/9,2/5,8/8,7/7,5/5,2/5,0/5,15/15,8/8,2/7
Code Correctness - Dont Run,0/8,0/9,0/9,2/5,0/8,0/7,0/5,3/5,5/5,0/15,0/8,4/7
"Code Correctness - Run, but incomplete",0/8,0/9,0/9,1/5,0/8,0/7,0/5,0/5,0/5,0/15,0/8,1/7
,,,,,,,,,,,,
,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Coluna 1,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Code Correctness - Run,8/8,8/8,10/10,0/5,8/9,5/6,4/5,0/5,0/5,18/18,11/12,0/13
Code Correctness - Dont Run,0/8,0/8,0/10,5/5,1/9,1/6,0/5,5/5,5/5,0/18,1/12,9/13
"Code Correctness - Run, but incomplete",0/8,0/8,0/10,0/5,0/9,0/6,1/5,0/5,0/5,0/18,0/12,4/13
,,,,,,,,,,,,
,,,,,,,,,,,,
,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Project Title,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Title,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo
Overview,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Incompleto,Certo,Certo,Certo
Installation - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Certo
Installation - Code Instructions,Certo,Certo,Certo,Errado,Certo,Certo,Certo,Certo,Errado,Certo,Certo,Incompleto
Usage and Examples - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
Usage and Examples - Code Instructions,Certo,Certo,Certo,Errado,Incompleto,Certo,Certo,Errado,Errado,Certo,Certo,Errado
API Reference,Certo,Certo,Certo,Errado,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
License,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Certo,Incompleto,Certo
,,,,,,,,,,,,
,,,,,,,,,,,,
,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Project Title,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Title,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo
Overview,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Certo,Certo,Certo,Certo
Installation - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Certo
Installation - Code Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Incompleto,Errado,Certo,Certo,Errado
Usage and Examples - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
Usage and Examples - Code Instructions,Certo,Certo,Certo,Incompleto,Incompleto,Certo,Certo,Errado,Errado,Certo,Certo,Errado
API Reference,Certo,Certo,Incompleto,Incompleto,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
License,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Certo,Incompleto,Errado
,,,,,,,,,,,,
,,,,,,,,,,,,
,Javascript,,,,Python,,,,Shell,,,
,,,,,,,,,,,,
Project Title,axios,jquey,moment, uri,numpy,rich,scikit-learn,snakemd,command-laucher,git-cli,jq,notes-cli
Title,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo
Overview,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Certo
Installation - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Incompleto,Errado,Certo,Certo,Incompleto
Installation - Code Instructions,Certo,Certo,Certo,Errado,Incompleto,Incompleto,Incompleto,Errado,Errado,Certo,Incompleto,Errado
Usage and Examples - Text Instructions,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
Usage and Examples - Code Instructions,Certo,Certo,Certo,Errado,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
API Reference,Certo,Certo,Certo,Errado,Certo,Certo,Certo,Errado,Errado,Certo,Certo,Errado
License,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Certo,Errado,Certo,Incompleto,Errado
